prix,date
2.14,2021-10-9
2.26,2021-10-10
2.19,2021-10-11
2.14,2021-10-12
2.12,2021-10-13
2.11,2021-10-14
2.1,2021-10-15
2.18,2021-10-16
2.19,2021-10-17
2.12,2021-10-18
2.16,2021-10-20
2.15,2021-10-21
2.18,2021-10-23
2.21,2021-10-24
2.21,2021-10-26
2.21,2021-10-27
2.19,2021-10-28
2.15,2021-10-29
2.11,2021-10-30
2.1,2021-10-31
2.09,2021-11-1
2.2,2021-11-2
2.27,2021-11-3
2.09,2021-11-4
2.1,2021-11-5
2.1,2021-11-6
2.1,2021-11-7
2.11,2021-11-8
2.12,2021-11-9
2.18,2021-11-10
2.16,2021-11-11
2.4,2021-11-12
2.15,2021-11-13
2.36,2021-11-14
2.36,2021-11-15
2.61,2021-11-16
2.57,2021-11-17
2.53,2021-11-18
2.6,2021-11-19
2.48,2021-11-20
2.6,2021-11-21
2.59,2021-11-22
2.5,2021-11-23
2.48,2021-11-24
2.47,2021-11-25
2.45,2021-11-26
2.5,2021-11-27
2.48,2021-11-28
2.48,2021-11-29
2.48,2021-11-30
2.47,2021-12-1
2.47,2021-12-2
2.49,2021-12-3
2.49,2021-12-4
2.44,2021-12-5
2.45,2021-12-6
2.44,2021-12-7
2.43,2021-12-8
2.44,2021-12-9
2.44,2021-12-10
2.48,2021-12-11
2.46,2021-12-12
2.44,2021-12-13
2.43,2021-12-14
2.44,2021-12-15
2.45,2021-12-16
2.44,2021-12-17
2.45,2021-12-18
2.44,2021-12-19
2.44,2021-12-20
2.4,2021-12-21
2.32,2021-12-22
2.3,2021-12-23
2.45,2021-12-24
2.4,2021-12-25
2.48,2021-12-26
2.47,2021-12-27
2.46,2021-12-28
2.49,2021-12-29
2.46,2021-12-30
2.49,2021-12-31
2.49,2022-1-1
2.49,2022-1-2
2.49,2022-1-3
2.49,2022-1-4
2.49,2022-1-5
2.49,2022-1-6
2.49,2022-1-7
2.49,2022-1-8
2.49,2022-1-9
2.49,2022-1-10
2.49,2022-1-11
2.47,2022-1-12
2.49,2022-1-13
2.47,2022-1-14
2.49,2022-1-15
2.49,2022-1-16
2.49,2022-1-17
2.49,2022-1-18
2.47,2022-1-19
2.49,2022-1-20
2.49,2022-1-21
2.48,2022-1-22
2.49,2022-1-23
2.49,2022-1-24
2.49,2022-1-25
2.75,2022-1-26
2.6,2022-1-27
2.74,2022-1-28
2.57,2022-1-29
2.54,2022-1-30
2.66,2022-1-31
2.58,2022-2-1
2.72,2022-2-2
2.61,2022-2-3
2.59,2022-2-4
2.77,2022-2-5
2.81,2022-2-6
2.69,2022-2-7
2.68,2022-2-8
2.82,2022-2-9
2.88,2022-2-10
2.87,2022-2-11
2.71,2022-2-12
2.91,2022-2-13
2.72,2022-2-14
2.97,2022-2-15
3.1,2022-2-16
2.89,2022-2-17
2.9,2022-2-18
2.8,2022-2-19
2.97,2022-2-20
2.75,2022-2-21
2.68,2022-2-22
2.78,2022-2-23
2.83,2022-2-24
2.9,2022-2-25
3.03,2022-2-26
2.88,2022-2-27
2.85,2022-2-28
2.82,2022-3-1
3.64,2022-3-2
3.13,2022-3-3
3.09,2022-3-4
2.82,2022-3-5
2.74,2022-3-6
3.03,2022-3-7
2.91,2022-3-8
2.85,2022-3-9
2.87,2022-3-10
2.77,2022-3-11
2.96,2022-3-12
2.85,2022-3-13
2.98,2022-3-14
3.1,2022-3-15
2.85,2022-3-16
2.84,2022-3-17
2.81,2022-3-18
2.87,2022-3-21
2.86,2022-3-22
2.87,2022-3-23
2.86,2022-3-24
2.81,2022-3-25
2.88,2022-3-26
2.79,2022-3-27
2.87,2022-3-28
2.8,2022-3-29
2.78,2022-3-30
3.06,2022-3-31
2.95,2022-4-4
2.78,2022-4-6
2.88,2022-4-7
