prix,date
160.0,2021-10-10
118.0,2021-10-12
115.0,2021-10-16
106.32,2021-10-18
115.0,2021-10-21
118.0,2021-10-23
109.0,2021-10-24
99.76,2021-10-25
111.0,2021-10-26
109.0,2021-10-28
94.1,2021-10-29
93.69,2021-10-30
112.0,2021-10-31
114.08,2021-11-3
93.23,2021-11-4
113.46,2021-11-5
111.37,2021-11-6
110.41,2021-11-8
113.0,2021-11-11
160.0,2021-11-12
104.2,2021-11-13
104.2,2021-11-15
160.0,2021-11-16
114.99,2021-11-18
114.0,2021-11-21
113.99,2021-11-22
109.99,2021-11-23
114.0,2021-11-24
114.0,2021-11-27
114.0,2021-11-28
120.0,2021-11-30
117.99,2021-12-2
117.99,2021-12-4
115.99,2021-12-5
114.99,2021-12-6
112.99,2021-12-7
109.99,2021-12-8
107.99,2021-12-9
97.99,2021-12-10
97.99,2021-12-11
95.99,2021-12-12
120.0,2021-12-13
109.0,2021-12-15
98.95,2021-12-17
101.5,2021-12-18
100.31,2021-12-19
102.37,2021-12-20
107.73,2021-12-21
120.0,2021-12-22
103.39,2021-12-23
102.5,2021-12-24
102.5,2021-12-25
102.5,2021-12-26
102.5,2021-12-29
102.5,2021-12-30
102.5,2021-12-31
102.5,2022-1-4
102.5,2022-1-5
102.5,2022-1-6
101.87,2022-1-7
102.5,2022-1-8
102.5,2022-1-14
102.5,2022-1-15
102.5,2022-1-17
102.5,2022-1-18
102.5,2022-1-22
102.5,2022-1-23
102.5,2022-1-24
102.5,2022-1-25
116.58,2022-1-26
116.58,2022-1-28
116.58,2022-1-31
113.81,2022-2-2
112.49,2022-2-3
112.4,2022-2-4
112.4,2022-2-5
111.28,2022-2-6
109.19,2022-2-7
107.86,2022-2-8
107.3,2022-2-9
107.29,2022-2-10
107.27,2022-2-11
112.49,2022-2-12
112.49,2022-2-14
108.33,2022-2-15
112.49,2022-2-16
112.49,2022-2-18
112.49,2022-2-19
119.74,2022-2-20
119.8,2022-2-21
111.17,2022-2-23
111.12,2022-2-24
111.12,2022-2-25
111.05,2022-2-26
111.02,2022-2-27
110.95,2022-2-28
110.86,2022-3-1
110.37,2022-3-2
124.59,2022-3-3
124.59,2022-3-4
123.39,2022-3-5
123.39,2022-3-6
125.0,2022-3-7
122.04,2022-3-9
122.04,2022-3-10
122.12,2022-3-11
128.22,2022-3-12
119.57,2022-3-13
119.36,2022-3-16
123.95,2022-3-22
123.95,2022-3-23
119.87,2022-3-24
119.29,2022-3-25
117.85,2022-3-26
116.41,2022-3-27
114.97,2022-3-28
119.41,2022-3-29
119.41,2022-3-30
119.41,2022-3-31
119.41,2022-4-6
