prix,date
1.13,2021-10-10
1.06,2021-10-14
1.02,2021-10-15
0.99,2021-10-16
0.98,2021-10-17
0.96,2021-10-18
0.97,2021-10-19
0.95,2021-10-20
0.9,2021-10-21
0.93,2021-10-23
0.98,2021-10-24
0.97,2021-10-26
0.97,2021-10-27
0.94,2021-10-28
0.93,2021-10-31
0.98,2021-11-2
0.97,2021-11-4
0.93,2021-11-5
0.88,2021-11-6
0.89,2021-11-7
0.93,2021-11-8
0.93,2021-11-9
0.91,2021-11-10
0.87,2021-11-11
0.86,2021-11-12
0.86,2021-11-13
0.87,2021-11-14
0.91,2021-11-15
0.9,2021-11-16
0.89,2021-11-17
0.9,2021-11-18
0.89,2021-11-19
0.89,2021-11-20
0.88,2021-11-21
0.85,2021-11-22
0.84,2021-11-23
0.84,2021-11-24
0.84,2021-11-25
0.84,2021-11-26
0.84,2021-11-27
0.83,2021-11-28
0.83,2021-11-29
0.83,2021-11-30
0.82,2021-12-1
0.82,2021-12-2
0.82,2021-12-3
0.85,2021-12-4
0.9,2021-12-5
0.91,2021-12-6
0.9,2021-12-7
0.87,2021-12-8
0.87,2021-12-9
0.86,2021-12-10
0.91,2021-12-11
1.0,2021-12-12
0.98,2021-12-13
0.89,2021-12-14
0.89,2021-12-15
0.88,2021-12-16
0.86,2021-12-17
0.93,2021-12-18
0.93,2021-12-19
0.91,2021-12-20
0.91,2021-12-21
0.91,2021-12-22
0.9,2021-12-23
0.91,2021-12-24
0.88,2021-12-25
0.87,2021-12-26
0.87,2021-12-27
0.87,2021-12-28
0.86,2021-12-29
0.86,2021-12-30
0.87,2021-12-31
0.88,2022-1-1
0.87,2022-1-2
0.9,2022-1-3
0.88,2022-1-4
0.89,2022-1-5
0.91,2022-1-6
0.92,2022-1-7
0.93,2022-1-8
0.93,2022-1-9
0.93,2022-1-10
0.93,2022-1-11
0.93,2022-1-12
0.93,2022-1-13
0.93,2022-1-14
0.93,2022-1-15
0.93,2022-1-16
0.93,2022-1-17
0.93,2022-1-18
0.93,2022-1-19
0.93,2022-1-20
0.93,2022-1-21
0.93,2022-1-22
0.93,2022-1-23
0.93,2022-1-24
0.93,2022-1-25
0.99,2022-1-26
0.99,2022-1-27
0.99,2022-1-28
0.95,2022-1-29
0.94,2022-1-30
0.94,2022-1-31
0.97,2022-2-1
0.98,2022-2-2
0.95,2022-2-3
0.99,2022-2-4
0.99,2022-2-5
0.97,2022-2-6
0.97,2022-2-7
0.99,2022-2-8
0.99,2022-2-9
0.99,2022-2-10
0.96,2022-2-11
0.95,2022-2-12
0.92,2022-2-13
0.91,2022-2-14
0.92,2022-2-15
0.92,2022-2-16
0.91,2022-2-17
0.93,2022-2-18
0.99,2022-2-19
1.01,2022-2-20
1.0,2022-2-21
1.04,2022-2-22
1.01,2022-2-23
1.01,2022-2-24
1.0,2022-2-25
1.0,2022-2-26
1.01,2022-2-27
1.02,2022-2-28
1.02,2022-3-1
1.02,2022-3-2
1.0,2022-3-3
1.0,2022-3-4
1.0,2022-3-5
1.0,2022-3-6
1.0,2022-3-7
1.06,2022-3-8
1.06,2022-3-9
1.06,2022-3-10
1.05,2022-3-11
1.05,2022-3-12
1.05,2022-3-13
1.05,2022-3-14
1.03,2022-3-15
1.01,2022-3-16
1.03,2022-3-17
1.03,2022-3-18
1.11,2022-3-21
1.14,2022-3-22
1.14,2022-3-23
1.13,2022-3-24
1.1,2022-3-25
1.1,2022-3-26
1.06,2022-3-27
1.04,2022-3-28
1.02,2022-3-29
1.0,2022-3-30
1.0,2022-3-31
0.99,2022-4-4
0.99,2022-4-5
1.06,2022-4-6
